gene_id	KNI1766A283	KNI1766A273	KNI1766A278	KNI1766A288	KNI1766A269	KNI1766A274	KNI1766A280	KNI1766A284	KNI1766A271	KNI1766A276	KNI1766A282	KNI1766A286	KNI1766A279	KNI1766A270	KNI1766A275	KNI1766A285	KNI1766A272	KNI1766A277
gene_id	CD45RA+Cyt-	CD45RA+Cyt-	CD45RA+Cyt-	CD45RA+Cyt-	CSF+	CSF+	CSF+	CSF+	IFN+	IFN+	IFN+	IFN+	IFN+	IL17A+	IL17A+	IL17A+	IL17A+GMCSF+IFN-	IL17A+GMCSF+IFN-
ENSG00000269946	0.251004	0.342685	0.265721	0.253333	0.32642	0.345421	0.175461	0.378462	0.103715	0.279994	0.161858	0.290847	0.29239	0.288163	0.131707	0.16146	0.062217	0.889411
ENSG00000269951	0.351406	0.399799	0.451725	0.591111	0.136008	0.143926	0.204704	0.320237	0.0777862	0.119998	0.188834	0.290847	0.0877169	0.259347	0.0658533	0.48438	0.217759	0
ENSG00000269952	2.18374	2.02755	1.64747	1.91407	0.788847	1.03626	0.93579	0.4658	0.777862	1.07998	1.05207	0.43627	0.906408	0.864489	1.38292	1.93752	0.62217	0.80047
ENSG00000269958	5.24599	5.28306	5.20813	5.34814	4.84189	4.0587	3.77241	1.92142	4.95239	4.07992	3.53389	2.71457	3.59639	4.35126	3.0951	3.2292	4.32408	4.26917
ENSG00000269963	1.38052	0.599699	0.372009	1.85778	0.353621	0.287851	0.584869	0.640475	0.648219	0.279994	0.593478	0.533219	0.438584	0.461061	0.329266	0.8073	0.40441	0.177882
ENSG00000269973	0.426708	0.342685	0.239149	0.703703	0.598436	0.575702	0.84806	0.902487	0.492646	0.319994	0.296739	0.969489	0.438584	0.547509	0.263413	0.96876	0.653278	0.622588
ENSG00000269979	0.301205	0.599699	0.504869	0.337777	0.32642	0.690843	0.438652	0.320237	0.311145	0.359993	0.242787	0.339321	0.467823	0.633958	0.592679	0.32292	0.653278	0.978352
ENSG00000269982	1.85743	1.05661	0.850306	2.81481	0.870452	0.633273	1.31596	3.2606	0.700076	0.51999	1.18696	1.74508	0.672496	0.835672	1.05365	1.93752	0.933254	0.80047
ENSG00000269983	1.53113	1.22796	1.35518	0.872592	0.380823	0.374207	1.02352	0.58225	0.596361	0.839983	1.18696	0.533219	0.497062	0.518693	0.856093	0.48438	0.497736	0.355764
ENSG00000269984	0.702812	0.799599	0.63773	1.15407	0.544033	0.230281	0.204704	0.6987	0.388931	0.439991	0.404644	0.87254	0.29239	0.316979	0.39512	0.96876	0.342193	0.444705
