gene	CD45RA+Cyt-	CSF+	IFN+	IL17A+	IL17A+GMCSF+INF-
VANGL1	1.78999951378284	13.2352732184824	10.3870847041459	10.7308559960383	16.3402898226551
GLRX	242.640338518462	138.955087190513	171.241537615911	176.674322905803	122.162289635882
IQCB1	575.210364815722	461.007796952654	482.128608787283	526.969361181802	571.724932264587
GOLGB1	1321.93357545206	1720.63346621408	1355.79636183178	1082.735271821	1358.84508594802
ZNF483	30.5938371362659	18.0314213551798	19.7647315922871	14.125041814128	7.43936153019428
SLC2A14	36.6192294179548	78.672391195099	71.5620332890131	98.1808415924359	153.357142419028
GPR137	366.481521881177	272.545246016221	246.279888075869	252.049922709181	239.046026857677
MZT2A	286.295031974018	283.471769356282	259.2303245716	299.620912192633	314.216728422839
TNKS	325.649441071363	259.1396584299	258.420791533139	201.665708787071	149.340183384072
ZNF449	10.2795531940814	10.362421723711	8.51462556680556	4.01318082348568	11.1127394132056
ZBTB21	1609.79466014593	1906.85630101531	1731.77729134857	1647.29751949595	1989.99902113025
PPP1R3B	249.776192591524	738.677783770999	840.758048599001	511.543683773698	684.160887144994
FAM86B3P	24.8711874590644	3.99146715607816	6.97371195272353	18.7057032911399	2.43594460377765
MAP3K11	438.028803167489	925.428866324451	709.991274294118	507.918421650308	702.602938664587
TRIB1	1113.32289648685	12684.214997653	7996.30451569332	7928.73854596316	14779.8921551395
KCNK7	22.1798371692891	43.8315838842524	26.461343275951	13.2791698853725	6.46498368868322
DAG1	126.457382145474	132.882498718139	118.698762955333	107.595740394168	115.843595520853
ARV1	35.2195596438675	32.7822198654191	37.81723795926	51.0635124379316	43.8590829179466
NAA20	967.997941566293	951.948804913524	1019.02016931153	972.144692639392	944.557337192005
MINOS1	71.414118293749	62.9938830443061	72.3645247085313	60.663377590874	64.7813646056935
EHBP1L1	177.117513908002	305.612675811158	228.116950040598	210.382457558775	289.806280380424
THAP2	1489.98303973975	480.267086877988	574.484389183369	843.548629877913	602.848657578616
RNF26	115.434222531106	110.352560586757	118.29177466722	87.3657148890938	110.550281251972
PPP1R14B	480.30658639253	893.199580760049	755.148489365212	889.510898461747	1277.13423858964
SSSCA1	395.543644375716	342.381396989154	360.170100627528	408.523642599934	417.022988947361
SMARCC1	1272.20503763294	1524.73395380323	1420.24368646251	1336.01722890062	1766.65308916056
ZNF417	157.1143561489	183.055663428977	178.227594198476	131.040347141498	134.264168745391
PTPRM	103.179616858918	210.417314260151	374.251891291745	308.305185162216	315.146820699974
FKBP2	463.440707681523	392.992653689086	340.206394620572	344.76574770688	359.603141962482
VEGFB	471.047824588775	255.424370077977	295.004392160957	322.139194192926	201.690849583103
PEAK1	382.561909472755	483.922193989068	341.801760039573	430.530836050333	612.030084968435
TNFRSF10D	1042.50017135948	932.441736925924	752.866073753126	632.863516007829	232.987706375526
MST1	87.3106727469211	56.5636343276233	65.2023071094862	54.9521493860877	49.7053499670129
TNFRSF10C	12.9316470406882	6.86573031719483	6.94888022430115	6.46928307760289	8.41373937170534
MOB1B	208.279954949911	284.033008268535	267.594197438044	287.640129346249	235.596782457698
ZNF622	753.747159249977	620.882385498177	571.488558978543	577.256187877731	466.441123376754
SNX33	103.761497151368	195.715726005132	159.916409798367	88.493405476259	98.1732666547922
NABP1	5775.81565738783	4254.05160632027	5194.28293664284	5129.65062267666	4728.41017235664
NUDT18	24.2810722139164	15.011598225983	18.6668981502371	18.1854949851387	27.9402181566163
GPR113	14.5118968919515	10.3399731179357	13.788758543522	11.9278771830948	13.417156298122
CHD2	6346.32849953977	7747.85630113543	6532.79245529098	5723.69197000045	4755.19749372735
CCDC106	24.9140073527068	18.1542836029809	11.7826628072721	16.2496010370227	12.9299673773664
CCDC41	324.531082444298	200.981670515739	241.753692413159	297.186418627877	249.578971585955
SULT1B1	96.2986850157985	50.880963500561	50.2243096392881	61.6827031466077	55.4590112519078
NUDT4	2150.12607042521	2638.9306189876	2648.53171830378	2773.54080107448	3228.09909864028
PC	113.505056754281	146.400773048214	154.709656110984	191.617511471078	217.860689732207
SCAI	35.8950597407041	21.1816719014713	19.035554474375	24.6547780627416	15.787337042469
NMNAT1	9.45121547595054	7.24531686258053	9.66574973999906	7.38160946564053	9.03245601132219
LRFN4	58.5737438549949	200.845228473308	150.86788196777	272.615334582184	408.507245566379
SLC19A1	419.652535498688	439.902007200208	348.194712185628	610.063560613394	802.252533936438
RCE1	389.267742669885	355.78875598138	337.346480334116	355.830751334362	374.705998505904
UQCRH	832.94794439028	831.971346837124	876.240403965467	940.758206584491	911.482174390111
EIF1AX	1984.83518151562	2413.00071204114	2400.91306339461	2470.42784008693	2720.44957218728
SPDYE2B	5.32364277168561	5.72206065499782	5.42813407142996	6.61067600485655	8.479503231136
CXorf23	155.943381035183	177.150975424225	190.107479629954	130.277897689403	179.175473414228
PSMD1	1189.78922049441	1373.67054976787	1253.83304397761	1187.71107739968	1248.00758915843
HEG1	843.598691384955	1834.49118974445	1561.95516008267	854.485941949068	1714.32928872258
C11orf80	11.5582673258759	34.9981327576684	23.9841229275219	26.1708878083747	37.7766023358985
TOMM20	2530.8175317188	2350.24920113891	2485.56849125952	2619.36762155081	2618.76397907793
C1orf100	4.50109127096563	6.01600716210156	6.3368713662334	5.89756041973196	3.89751136604424
AGFG1	1461.84882654098	2321.34899334737	2192.95248171474	2542.12285465011	2733.91101404978
STAT5B	6789.78876289116	7142.78733750057	7889.06034117381	8731.95304415476	10350.2670830777
CD7	6763.81682354957	2204.96813798819	3259.64810351698	5399.48960342393	2632.55155843273
CNP	266.502978858196	361.797533188608	389.146012010763	295.291434446334	316.506383452963
HAP1	7.25864738333079	8.36396094706028	5.91416435039205	8.60438782863195	10.5597866330194
EIF1	20612.948513997	22750.4209350134	21497.5697217609	27103.6637905234	21676.2005622319
ENDOV	42.3954955220808	29.0914346636667	25.1753534293535	29.1366528403587	17.9991481632137
